3,Quarter To Three,,,,,,,,,,
3,0,,,,,,,,,,
3, N , N , N , N ,,,,,,,
3, 3_min7 , 8_sus4(b7) 8_7 , 1_maj 1_maj7 , 1_maj6 1_maj ,,,,,,,
3, 6_maj , 8_7 , 1_maj 1_maj7 , 1_maj6 1_maj ,,,,,,,
3, 6_maj , 3_min7 , 8_7 ," 8_sus4(b7,9) ",,,,,,,
3, 1_maj7 , 1_maj7 , 8_maj , 8_7 ,,,,,,,
3, 8_7 , 8_7 , 1_maj , 3_min7 8_7 ,,,,,,,
3, 1_maj 1_maj9 , 3_min7 1_7 , 6_maj9 6_maj6 , 6_min(9) 6_min ,,,,,,,
3, 8_7 ," 3_sus4(b7,9) ", 8_7 , 8_7(b9) ,,,,,,,
3, 1_maj7 ," 8_sus4(b7,9) ", 1_maj ," 8_sus4(b7,9) ", 1_maj ,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,For The Good Times,,,,,,,,,,
3, N . 6_maj 5_min7 ," 8_sus4(b7,9,13) ", 6_7(b9) , 1_maj6 , 1_maj6 ,,,,,,
3, 3_min7 , 8_7 , 1_maj 1_maj6 , 1_maj7 1_maj6 ,,,,,,,
3, 3_min7 , 8_7 , 1_maj 1_maj6 , 1_maj7 , 1_maj ,,,,,,
3, 6_maj , 8_7 , 1_maj , 1_maj ,,,,,,,
3, 6_maj , 3_min7 , 8_7 ," 8_sus4(b7,9) ",,,,,,,
3, 1_maj7 , 1_maj7 , 8_maj , 8_7 ,,,,,,,
3, 8_7 , 8_7 , 1_maj , 3_min7 8_7 ,,,,,,,
3, 1_maj 1_maj9 , 3_min7 1_7 , 6_maj9 6_maj6 , 6_min(9) 6_min ,,,,,,,
3, 8_7 ," 3_sus4(b7,9) ", 8_7 , 8_7(b9) ,,,,,,,
3, 1_maj7 ," 8_sus4(b7,9) ", 1_maj , 1_maj ,,,,,,,
3, 3_min7 , 8_7 , 1_maj 1_maj7 , 1_maj6 1_maj ,,,,,,,
3, 3_min7 , 8_sus4(b7) 8_7 , 1_maj 1_maj7 , 1_maj6 1_maj ,,,,,,,
3, 6_maj , 8_7 , 1_maj 1_maj7 , 1_maj6 1_maj ,,,,,,,
3, 6_maj , 3_min7 , 8_7 ," 8_sus4(b7,9) ",,,,,,,
3, 1_maj7 , 1_maj7 , 8_maj , 8_7 ,,,,,,,
3, 8_7 , 8_7 , 1_maj , 3_min7 8_7 ,,,,,,,
3, 1_maj 1_maj9 , 3_min7 1_7 , 6_maj9 6_maj6 , 6_min(9) 6_min ,,,,,,,
3, 8_7 ," 3_sus4(b7,9) ", 8_7 , 8_7(b9) ,,,,,,,
3, 1_maj7 ," 8_sus4(b7,9) ", 1_maj ," 8_sus4(b7,9) ", 1_maj ,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Funny Girl,,,,,,,,,,
3, (7/4) 1_maj7 , (7/4) 3_min7 ,,,,,,,,,
3, (7/4) 1_maj7 . . . . . 2_dim , (7/4) 3_min7 . . . . 4_dim . ,,,,,,,,,
3, 5_min7 5_7 , 0:min7 , 3_9(#11) , 6_maj7 7_hdim7 ,,,,,,,
3, 8_sus4(b7) 8_7 , 3_7(#11) . 5_min/b3 2_dim , 3_min7 2_dim , 3_min6 3_min(b13) 8_7 8_maj6/b7 ,,,,,,,
3, 5_min , 4_dim , 3_min11 . 3_sus4(b7)/b7 3_7/b7 , 3_7 9_7 8_aug . ,,,,,,,
3, 1_maj7 , 1_maj7 , 6_maj7 , 6_maj7 7_dim ,,,,,,,
3, 1_maj7/5 , 1_maj7(#5) 1_maj7 . . , 4_maj7 , 0:7 ,,,,,,,
3, 3_min7 , 6_7 , 1_maj7/5 , 3_7(#11) , &pause ,,,,,,
3, 8_dim 8_maj7 9_dim . , 0:min , &pause ,,,,,,,,
3, (2/4) 0:min , 1_7 , 6_maj7 ,,,,,,,,
3, 3_9 , &pause ,,,,,,,,,
3, 1_maj/3 0:9 , 3_min ,,,,,,,,,
3," (2/4) 8_sus4(b7,9) ",,,,,,,,,,
3, 1_maj7(#11) , x2,,,,,,,,,
3, 11_maj7 , x2,,,,,,,,,
3, 1_maj7(#11) , x3,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Get Up (I Feel Like Being Like A) Sex Machine (Part 1),,,,,,,,,,
3,0,,,,,,,,,,
3, 6_13 ,,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 6_13 , 6_13 ,,,,,,,,,
3, 6_13 , 6_13 ,,,,,,,,,
3, 6_13 , 6_13 ,,,,,,,,,
3, 6_13 , 6_13 ,,,,,,,,,
3, 6_13 , 6_13 ,,,,,,,,,
3, 6_13 , 6_13 ,,,,,,,,,
3, 6_13 , 6_13 ,,,,,,,,,
3, 6_13 , 6_13 ,,,,,,,,,
3, 6_13 ,,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 ,,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 ,,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 1_13 , 1_13 ,,,,,,,,,
3, 6_13 ,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Going To Chicago Blues,,,,,,,,,,
3, N , N , 3_9 9_7 , 8_7 8_aug(b7) ,,,,,,,
3, 1_maj , 6_7 7_dim , 1_maj , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_maj , 1_maj ,,,,,,,
3, 3_min7 9_7 , 8_7 , 1_maj 6_7 , 1_maj ,,,,,,,
3, 1_maj , 6_7 , 1_maj , 1_maj ,,,,,,,
3, 6_7 , 6_7 , 1_maj , 1_maj ,,,,,,,
3, 3_min7 , 8_7 , 1_maj . 6_7 7_dim , 1_maj 8_7 ,,,,,,,
3, 1_7 , 6_maj , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 8_7 , 1_maj . 6_7 7_dim , 8_7 ,,,,,,,
3, 1_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 8_7 , 8_7 , 1_maj . 6_7 7_dim , 1_maj 8_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 3_sus4(b7) 8_7 , 3_sus4(b7) 8_7 , 1_maj . 6_7 7_dim , 1_maj 8_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 6_7 , 6_7 , 1_7 , 1_7 ,,,,,,,
3, 3_sus4(b7) 8_7 , 3_sus4(b7) 8_7 , 1_maj . 6_7 7_dim , 1_maj 8_7 1_maj . ,,,,,,,
3, 1_maj6/5 1_maj ,,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Higher Ground,,,,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 3_7 , 3_7 , 6_7 , 11_7 ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 3_7 , 3_7 , 6_7 , 11_7 ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 6_7 , 1_7(#9) , 6_7 , 1_7(#9) ,,,,,,,
3, 6_7 , 1_7(#9) , 3_7 , 8_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 3_7 , 3_7 , 6_7 , 11_7 ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 3_7 , 3_7 , 6_7 , 11_7 ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 6_7 , 1_7(#9) , 6_7 , 1_7(#9) ,,,,,,,
3, 6_7 , 1_7(#9) , 3_7 , 8_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) , 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,
3, 1_7(#9) . 4_maj 6_maj , 1_7(#9) ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,I Adore Mi Amor,,,,,,,,,,
3, 1_maj , 9_maj 12_dim , 1_maj , 9_maj , 11_maj , N , ->,,,,
3, 4_maj6 6_maj6 , 1_maj , 4_maj6 6_maj6 , 1_maj ,,,,,,,
3, 4_maj6 6_maj6 , 1_maj , 4_maj6 6_maj6 , 1_maj , 1_maj , ->,,,,,
3, 1_min11 , 6_min11 8_min , 1_min11 , 6_min11 8_min ,,,,,,,
3, 6_min11 6_min9 , 1_min13 , 6_min9 , 8_sus4 8_maj , 8_maj ,,,,,,
3, 1_min11 , 6_min11 8_min , 1_min11 , 6_min11 8_min ,,,,,,,
3, 6_min11 6_min9 , 1_min13 , 6_min9 , 8_sus4 8_maj ,,,,,,,
3, 1_maj , 9_maj 8_7 , 1_maj , 6_min7 , 8_11 ,,,,,,
3, 1_maj9 , 4_maj 6_11 , 1_maj9 , 4_maj 6_11 ,,,,,,,
3, 1_maj9 , 4_maj 6_11 , 1_maj9 , 4_maj 6_11 ,,,,,,,
3, 1_maj9 , 1_maj9 ,,,,,,,,,
3, 1_min11 , 6_min11 8_min , 1_min11 , 6_min11 8_min ,,,,,,,
3, 6_min11 6_min9 , 1_min13 , 6_min9 , 8_sus4 8_maj ,,,,,,,
3, 1_min11 , 6_min/5 , 1_min11 , 6_min11 8_min ,,,,,,,
3, 6_min11 6_min9 , 1_min13 , 6_min9 7_dim , 8_sus4 8_maj ,,,,,,,
3, 1_maj , 9_maj 8_7 , 1_maj , 6_min7 , 8_11 ,,,,,,
3, 1_maj9 , 4_maj 6_11 , 1_maj9 , 4_maj 6_11 ,,,,,,,
3, 1_maj9 , 4_maj 6_11 , 1_maj9 , 4_maj 6_11 ,,,,,,,
3, 1_maj9 , 1_maj9 ,,,,,,,,,
3, 1_min11 , 6_min11 8_min , 1_min11 , 6_min11 8_min ,,,,,,,
3, 1_min11 , 6_min11 8_min , 1_min11 , 6_min11 8_min ,,,,,,,
3, 6_min11 6_min9 , 1_min13 , 6_min9 , 8_sus4 8_maj , 8_11 ,,,,,,
3, 1_maj9 , 4_maj 6_11 , 1_maj9 , 4_maj 6_11 ,,,,,,,
3, 1_maj9 , 4_maj 6_11 , 1_maj9 , 4_maj 6_11 ,,,,,,,
3, 1_maj9 , 4_maj 6_11 , 1_maj9 , 4_maj 6_11 ,,,,,,,
3, 1_maj9 , 4_maj 6_11 , 1_maj9 , 4_maj 6_11 ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3, 11_maj , 11_maj , 6_maj , 6_maj ,,,,,,,
3, 6_maj , 6_maj , 6_maj , 11_maj ,,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj , 8_maj , 8_maj ,,,,,,,
3, 8_maj , 8_maj , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 8_maj , 8_maj ,,,,,,,
3, 8_maj , 8_maj , 8_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 8_maj , 8_maj ,,,,,,,
3, 8_maj , 8_maj , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 8_maj , 8_maj ,,,,,,,
3, 8_maj , 8_maj , 8_maj , 1_maj ,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,I Won't Stand In Your Way,,,,,,,,,,
3, 1_maj 0:min7 , 9_7 8_7 , &pause ,,,,,,,,
3, 1_maj 1_maj7 , 1_7 , 6_maj , 6_min 11_7 ,,,,,,,
3, 1_maj 1_maj/7 , 0:min7 1_maj/5 , 6_maj 3_min , 9_7 8_7 ,,,,,,,
3, 1_maj 1_maj7 , 1_7 , 6_maj , 6_min 11_7 ,,,,,,,
3, 1_maj 1_maj/7 , 0:min7 1_maj/5 , 3_min7 8_13 , 1_maj 1_7 ,,,,,,,
3, 6_maj , 11_7 , 1_maj 6_maj , 1_maj 1_7 ,,,,,,,
3, 3_7 , 3_7 , 3_min7 , 8_7 ,,,,,,,
3, 1_maj 1_maj7 , 1_7 , 6_maj , 6_min 11_7 ,,,,,,,
3, 1_maj 1_maj/7 , 0:min7 1_maj/5 , 3_min7 8_13 , 1_maj ,,,,,,,
3, 1_maj 1_maj7 , 1_7 , 6_maj , 6_min 11_7 ,,,,,,,
3, 1_maj 1_maj/7 , 0:min7 1_maj/5 , 3_min7 8_13 , 1_maj 6_min , 1_maj 1_7 ,,,,,,
3, 6_maj , 6_min , 1_maj 6_maj , 1_maj 1_7 ,,,,,,,
3, 3_7 , 3_7 , 3_min7 , 9_7 8_7 , &pause ,,,,,,
3, 1_maj 1_maj7 , 1_7 , 6_maj , 6_min 11_7 ,,,,,,,
3, 1_maj 1_maj/7 , 0:min7 1_maj/5 ,,,,,,,,,
3, 6_maj , 11_7 , 3_min7 , 8_13 , &pause ,,,,,,
3, 1_maj , 6_min , 1_maj9 ,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3, 5_7 , 5_7 , 12_maj , 12_maj ,,,,,,,
3, 7_7 , 7_7 , 7_7 , 12_maj , 12_maj ,,,,,,
3, 1_maj , 1_maj ,,,,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 6_7 , 6_7 , 1_maj , 1_maj ,,,,,,,
3, 8_7 , 8_7 , 1_maj , 1_maj ,,,,,,,
3, 1_maj , 1_maj , 1_maj , 1_maj ,,,,,,,
3, 11_maj 4_maj , 11_maj 4_maj , 11_maj 4_maj , 4_maj 11_maj ,,,,,,,
3, 1_min 3_min , 3_min7 8_maj ,,,,,,,,,
3, 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj ,,,,,,,
3, 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj ,,,,,,,
3, 5_min , 0:min , 5_min , 0:min ,,,,,,,
3, 3_min 5_min , 8_11 , 3_min 5_min , 8_11 , 1_maj 6_maj , 6_maj 1_maj ,,,,,
3, 3_min 5_min , 8_11 , 3_min 5_min , 8_11 , 1_maj 6_maj , 6_maj 1_maj ,,,,,
3, 3_min 5_min , 8_11 , 3_min 5_min , 8_11 , 1_maj 6_maj , 6_maj 1_maj ,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3, 11_maj 4_maj , 11_maj 4_maj , 11_maj 4_maj , 4_maj 11_maj ,,,,,,,
3, 1_min 3_min , 3_min7 8_maj ,,,,,,,,,
3, 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj ,,,,,,,
3, 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj ,,,,,,,
3, 5_min , 0:min , 5_min , 0:min ,,,,,,,
3, 3_min 5_min , 8_11 , 3_min 5_min , 8_11 , 1_maj 6_maj , 6_maj 1_maj ,,,,,
3, 3_min 5_min , 8_11 , 3_min 5_min , 8_11 , 1_maj 6_maj , 6_maj 1_maj ,,,,,
3, 3_min 5_min , 8_11 , 3_min 5_min , 8_11 , 1_maj 6_maj , 6_maj 1_maj ,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3, 11_maj 4_maj , 11_maj 4_maj , 11_maj 4_maj , 4_maj 11_maj ,,,,,,,
3, 1_min 3_min , 3_min7 8_maj ,,,,,,,,,
3, 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj ,,,,,,,
3, 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj , 1_maj 6_maj ,,,,,,,
3, 5_min , 0:min , 5_min , 0:min ,,,,,,,
3, 3_min 5_min , 8_11 , 3_min 5_min , 8_11 , 1_maj 6_maj , 6_maj 1_maj ,,,,,
3, 3_min 5_min , 8_11 , 3_min 5_min , 8_11 , 1_maj 6_maj , 6_maj 1_maj ,,,,,
3, 3_min 5_min , 8_11 , 3_min 5_min , 8_11 , 1_maj 6_maj , 6_maj 1_maj ,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Jamie,,,,,,,,,,
3, 8_7 , 8_7 ,,,,,,,,,
3, 1_maj 0:min , 3_min7 8_7 , 1_maj 0:min , 3_min7 8_7 ,,,,,,,
3, 1_maj , 8_7 , 1_maj , 1_7 ,,,,,,,
3, 6_maj , 6_maj , 3_7 , 3_7 ,,,,,,,
3, 1_maj 0:min , 6_maj 8_7 , 1_maj 0:min , 6_maj 8_7 ,,,,,,,
3, 1_maj 0:min , 6_maj , 8_7 , 8_7 ,,,,,,,
3, 1_maj , 8_7 , 1_maj , 1_7 ,,,,,,,
3, 6_maj , 6_maj , 3_7 , 3_7 ,,,,,,,
3, 1_maj 0:min , 6_maj 8_7 , 1_maj 0:min , 6_maj 8_7 , 1_maj 0:min , 6_maj 8_7 ,,,,,
3, 1_maj 6_maj , 1_7 ,,,,,,,,,
3, 6_maj , 6_maj , 5_maj , 5_maj ,,,,,,,
3, 6_maj , 6_maj , 3_maj , 8_7 , 8_7 ,,,,,,
3, 1_maj , 8_7 , 1_maj , 1_7 ,,,,,,,
3, 6_maj , 6_maj , 3_7 , 3_7 , x2,,,,,,
3, 1_maj 0:min , 6_maj 8_7 , 1_maj 0:min , 6_maj 8_7 , 1_maj 0:min , 6_maj 8_7 ,,,,,
3, 1_maj 6_maj , 1_7 ,,,,,,,,,
3, 1_maj 0:min , 6_maj 8_7 ,,,,,,,,,
3, 1_maj 0:min , 6_maj 8_7 ,", fadeout",,,,,,,,
3, 1_maj 0:min , 6_maj 8_7 ,,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Lady,,,,,,,,,,
3, 1_min , 1_min ,,,,,,,,,
3, 1_min , 6_min/5 11_maj/9 , 1_min ,,,,,,,,
3, 6_min/5 11_maj/9 , (2/4) 11_maj/9 , 1_min , 1_min ,,,,,,,
3, 1_min , 6_min/5 11_maj/9 , 1_min ,,,,,,,,
3, 6_min/5 11_maj/9 , (2/4) 11_maj/9 , 1_min , 1_min ,,,,,,,
3, 6_min , 8_min 1_min ,,,,,,,,,
3, C9_maj 8_min , 1_sus4 1_maj ,,,,,,,,,
3, 6_min , 8_min 1_min ,,,,,,,,,
3, C9_maj 8_min , 1_sus4 , 1_maj ,,,,,,,,
3, 1_min , 6_min/5 11_maj/9 , 1_min ,,,,,,,,
3, 6_min/5 11_maj/9 , (2/4) 11_maj/9 , 1_min , 1_min ,,,,,,,
3, 1_min , 6_min/5 11_maj/9 , 1_min ,,,,,,,,
3, 6_min/5 11_maj/9 , (2/4) 11_maj/9 , 1_min , 1_min ,,,,,,,
3, 6_min , 8_min 1_min ,,,,,,,,,
3, C9_maj 8_min , 1_sus4 1_maj ,,,,,,,,,
3, 6_min , 8_min 1_min ,,,,,,,,,
3, C9_maj 8_min , 1_sus4 , 1_maj ,,,,,,,,
3, C9_maj , 11_7/b7 ,,,,,,,,,
3, 4_maj 11_maj/3 , 1_min 1_min/b7 ,,,,,,,,,
3, C9_maj , 11_7/b7 ,,,,,,,,,
3, 4_maj 11_maj/3 , 1_min 1_min/b7 ,,,,,,,,,
3, C9_maj , 11_7/b7 ,,,,,,,,,
3, 4_maj 11_maj/3 , 1_min 1_min/b7 ,,,,,,,,,
3, C9_maj 8_min 6_min . , 11_sus4(b7) , &pause ,,,,,,,,
3, 1_min , 6_maj/5 11_maj/9 , 1_min ,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Land Of 1000 Dances,,,,,,,,,,
3, 8_maj ,,,,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
3, 1_7 , 1_7 , 1_7 ,,,,,,,,
3,0,,,,,,,,,,
3,0,,,,,,,,,,
3,Last Child,,,,,,,,,,
3, 11_min(9) , 11_min(9) , 4_maj6(b7) , 4_maj6(b7) ,,,,,,,
3, 1_7 , 1_7 ,,,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 6_7 , 6_7 , 6_7 , 6_7 ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 11_maj , 6_maj ,,,,,,,
3, 1_7(#9) , 1_7(#9) ,,,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 6_7 , 6_7 , 6_7 , 6_7 ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 11_maj , 6_maj ,,,,,,,
3, 1_7(#9) , 1_7(#9) ,,,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 11_maj , 6_maj ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 11_maj , 6_maj ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3, 1_7(#9) , 1_7(#9) , 1_7(#9) , 1_7(#9) ,,,,,,,
3,0,,,,,,,,,,
3,Last Dance,,,,,,,,,,
3, 1_maj , 6_maj/5 , 1_maj , 6_maj/5 ,,,,,,,
3, 1_maj7 , 6_maj/5 , 1_maj7 , 8_aug(b7) ,,,,,,,
