Come Together,,,,,,,,,,
 5_min, 5_min, 4_maj, 6_maj,,,,,,,
 4_maj, 8_sus4 , 8_sus4 ,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Blue Jean,,,,,,,,,,
 12:maj,,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,,,,
 6_maj, 6_maj, 6_maj, 6_maj, 6_maj, 6_maj,,,,,
 1_maj, 1_maj,,,,,,,,,
 12:maj, 1_maj, 12:maj, 8_maj, 8_maj,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min,,,,,,,,,
 12:maj,,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,,,,
 6_maj, 6_maj, 6_maj, 6_maj, 6_maj, 6_maj,,,,,
 1_maj, 1_maj,,,,,,,,,
 12:maj, 1_maj, 12:maj, 8_maj, 8_maj,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min,,,,,,,,,
 12:maj,,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min, 8_maj, 8_maj,,,,,,,
 5_min, 5_min,,,,,,,,,
 12:maj, 12:maj,,,,,,,,,
 3_maj ,,,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Born To Be Alive,,,,,,,,,,
0,,,,,,,,,,
 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , A:1 ,,,
 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , A:1 ,,,
 8_min, 8_min, 8_min, 8_min, 8_min, 8_min, 8_min, A:min,,,
 1_maj, 1_maj, 12:maj, 8_maj, 1_maj, 1_maj, 12:maj, A:maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 12:maj, G:maj,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 12:maj, G:maj,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 5_sus4 , 5_sus4 , 5_7 , 5_7 ,,,,,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 5_sus4 , 5_sus4 , 5_7 , 5_7 ,,,,,,,
 1_min, 1_min, 1_min, 1_min, x2,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 12:maj, G:maj,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Born To Be Alive,,,,,,,,,,
0,,,,,,,,,,
 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , A:1 ,,,
 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , A:1 ,,,
 8_min, 8_min, 8_min, 8_min, 8_min, 8_min, 8_min, A:min,,,
 1_maj, 1_maj, 12:maj, 8_maj, 1_maj, 1_maj, 12:maj, A:maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 12:maj, G:maj,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 12:maj, G:maj,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 5_sus4 , 5_sus4 , 5_7 , 5_7 ,,,,,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 5_sus4 , 5_sus4 , 5_7 , 5_7 ,,,,,,,
 1_min, 1_min, 1_min, 1_min, x2,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 12:maj, G:maj,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Born To Be Alive,,,,,,,,,,
0,,,,,,,,,,
 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , A:1 ,,,
 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , 8_1 , A:1 ,,,
 8_min, 8_min, 8_min, 8_min, 8_min, 8_min, 8_min, A:min,,,
 1_maj, 1_maj, 12:maj, 8_maj, 1_maj, 1_maj, 12:maj, A:maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 12:maj, G:maj,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 12:maj, G:maj,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 5_sus4 , 5_sus4 , 5_7 , 5_7 ,,,,,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 10_min, 10_min, 6_maj, 6_maj, 6_maj, G:maj,,,
 5_sus4 , 5_sus4 , 5_7 , 5_7 ,,,,,,,
 1_min, 1_min, 1_min, 1_min, x2,,,,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 12:maj, G:maj,,,
 1_maj, 1_maj, 6_maj, 6_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj, 1_maj, 1_maj,,,
 10_min, 10_min, 8_maj, 8_maj, 6_maj, 6_maj, 6_maj, G:maj,,,
 10_min, 10_min, 12:maj, 10_min, 1_maj, 1_maj,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Breezin',,,,,,,,,,
 1_maj, 4_maj, 8_maj, 4_maj,,,,,,,
 1_maj,,,,,,,,,,
 1_maj, 3_min, 1_maj, 3_min,,,,,,,
 1_maj, 3_min, 1_maj, 3_min,,,,,,,
 1_maj, 3_min, 1_maj, 3_min,,,,,,,
 1_maj, 3_min, 1_maj, 3_min,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj,,,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Burning Down The House,,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 6_maj, 4_maj, 6_maj, 4_maj,,,,,,,
 6_maj, 4_maj, 6_maj, 4_maj,,,,,,,
 6_maj, 4_maj, 6_maj, 4_maj,,,,,,,
 6_maj, 4_maj, 6_maj, 4_maj,,,,,,,
 6_sus4 , 4_sus4 , 6_sus4 , 4_sus4 ,,,,,,,
 6_sus4 , 4_sus4 , 6_sus4 , 4_sus4 ,,,,,,,
 6_maj, 4_maj, 6_maj, 4_maj,,,,,,,
 6_maj, 4_maj, 6_maj, 4_maj,,,,,,,
 6_sus4 , 4_sus4 , 6_sus4 , 4_sus4 ,,,,,,,
 6_sus4 , 4_sus4 , 6_sus4 , 4_sus4 ,,,,,,,
 6_maj, 4_maj, 6_maj, 4_maj,,,,,,,
 6_maj, 4_maj, 6_maj, 4_maj,,,,,,,
 6_maj, 4_maj, 6_maj, 4_maj,,,,,,,
 6_maj, 4_maj, 6_maj, 4_maj,,,,,,,
 6_sus4 , 4_sus4 , 6_sus4 , 4_sus4 ,,,,,,,
 6_sus4 , 4_sus4 , 6_sus4 , 4_sus4 ,,,,,,,
 6_1 , 4_1 , 6_1 , 4_1 ,,,,,,,
 6_1 , 4_1 , 6_1 , 4_1 ,,,,,,,
 6_maj , 4_maj , 6_maj , 4_maj ,,,,,,,
 6_maj , 4_maj , 6_maj 8_maj , 4_maj ,,,,,,,
 6_sus4 , 4_sus4 , 6_sus4 , 4_sus4 ,,,,,,,
 6_sus4 , 4_sus4 , 6_sus4 , 4_sus4 ,,,,,,,
 6_sus4 , 4_sus4 , 6_sus4 , 4_sus4 ,,,,,,,
 6_sus4 , 4_sus4 , 6_sus4 , 4_sus4 ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Carrie,,,,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 4_maj, 1_maj 12:maj, 1_maj 4_maj, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 4_maj, 1_maj 12:maj, 1_maj 4_maj, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 4_maj, 1_maj 12:maj, 1_maj 12:5 ,,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 2_maj," 12:sus4(,9) 1_sus4(,9) ", 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 2_maj," 12:sus4(,9) 1_sus4(,9) ", 2_9 ,,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 4_maj, 1_maj 12:maj, 1_maj 4_maj, 1_maj ,,,,,,,
 12:maj, 9_maj, 12:maj, 9_maj,,,,,,,
 8_min, 9_maj, 1_min,,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 2_maj," 12:sus4(,9) 1_sus4(,9) ",,,,,,,,,
 1_min, 1_min,,,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 2_maj," 9_sus4(,9) 12:sus4(,9) ", 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 2_maj," 12:sus4(,9) 1_sus4(,9) ",,,,,,,,,
 2_maj," 12:sus4(,9) 1_sus4(,9) ", 2_9 ,,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Carrie,,,,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 4_maj, 1_maj 12:maj, 1_maj 4_maj, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 4_maj, 1_maj 12:maj, 1_maj 4_maj, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 4_maj, 1_maj 12:maj, 1_maj 12:5 ,,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 2_maj," 12:sus4(,9) 1_sus4(,9) ", 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 2_maj," 12:sus4(,9) 1_sus4(,9) ", 2_9 ,,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 4_maj, 1_maj 12:maj, 1_maj 4_maj, 1_maj ,,,,,,,
 12:maj, 9_maj, 12:maj, 9_maj,,,,,,,
 8_min, 9_maj, 1_min,,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 2_maj," 12:sus4(,9) 1_sus4(,9) ",,,,,,,,,
 1_min, 1_min,,,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 2_maj," 9_sus4(,9) 12:sus4(,9) ", 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 9_maj,,,,,,,
 2_maj," 12:sus4(,9) 1_sus4(,9) ",,,,,,,,,
 2_maj," 12:sus4(,9) 1_sus4(,9) ", 2_9 ,,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
 12:sus2, 1_maj , 12:sus2, 1_maj ,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Caught Up In The Rapture,,,,,,,,,,
 1_maj, 4_maj," 12:sus4(,9,13) ", 6_min,,,,,,,
 1_maj, 4_maj," 12:sus4(,9,13) ", 6_min,,,,,,,
 1_maj, 5_min, 6_maj," 12:sus4(,9,13) ",,,,,,,
 1_maj, 5_min, 6_maj," 12:sus4(,9,13) ",,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min, 8_min, 6_maj,,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min," 8_sus4(,9) "," 8_sus4(,9) ",,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 1_maj, 4_maj," 12:sus4(,9,13) ", 6_min,,,,,,,
 1_maj, 5_min, 6_maj," 12:sus4(,9,13) ",,,,,,,
 1_maj, 5_min, 6_maj," 12:sus4(,9,13) ",,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min, 8_min, 6_maj,,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min," 8_sus4(,9) "," 8_sus4(,9) ",,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 1_maj, 4_maj," 12:sus4(,9,13) ", 6_min,,,,,,,
 1_maj, 4_maj," 12:sus4(,9,13) ", 6_min,,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min, 8_min, 6_maj,,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min," 8_sus4(,9) "," 8_sus4(,9) ",,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min, ,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,", fadeout ",,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Caught Up In The Rapture,,,,,,,,,,
 1_maj, 4_maj," 12:sus4(,9,13) ", 6_min,,,,,,,
 1_maj, 4_maj," 12:sus4(,9,13) ", 6_min,,,,,,,
 1_maj, 5_min, 6_maj," 12:sus4(,9,13) ",,,,,,,
 1_maj, 5_min, 6_maj," 12:sus4(,9,13) ",,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min, 8_min, 6_maj,,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min," 8_sus4(,9) "," 8_sus4(,9) ",,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 1_maj, 4_maj," 12:sus4(,9,13) ", 6_min,,,,,,,
 1_maj, 5_min, 6_maj," 12:sus4(,9,13) ",,,,,,,
 1_maj, 5_min, 6_maj," 12:sus4(,9,13) ",,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min, 8_min, 6_maj,,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min," 8_sus4(,9) "," 8_sus4(,9) ",,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 1_maj, 4_maj," 12:sus4(,9,13) ", 6_min,,,,,,,
 1_maj, 4_maj," 12:sus4(,9,13) ", 6_min,,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min, 8_min, 6_maj,,,,,,,
" 111(b3,,11,9) 5_7 ", 10_min," 8_sus4(,9) "," 8_sus4(,9) ",,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min, ,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
 10_min, 10_min, 6_maj, 3_min,", fadeout ",,,,,,
 10_min, 10_min, 6_maj, 3_min,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
City In The Sky,,,,,,,,,,
 1_7 , 1_7 , 1_7 , 1_min,,,,,,,
 1_7 , 12:sus4 , 1_7 , 12:sus4 ,,,,,,,
 1_7 , 12:sus4 , 1_7 , 12:sus4 ,,,,,,,
 1_7 , 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_7 , 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_7 , 12:sus4 ,,,,,,,,,
 8_7 , 6_7 , 6_7 , 6_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7(#9) ,,,,,,,
 1_7 , 12:sus4 , 1_7 , 12:sus4 ,,,,,,,
 1_7 , 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_7 , 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_7 , 12:sus4 ,,,,,,,,,
 8_7 , 6_7 , 6_7 , 6_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7(#9) ,,,,,,,
 1_7 , 12:sus4 , 1_7 , 12:sus4 ,,,,,,,
 1_7 , 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_7 , 12:sus4 , 6_7 , 6_7 ,,,,,,,
 1_7 , 12:sus4 ,,,,,,,,,
 8_7 , 6_7 , 6_7 , 6_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 1_7 , 1_7 ,,,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 1_7 , 1_7 , 1_7 , 1_7 ,,,,,,,
 1_7 , 1_7 , 1_7 ,,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Cold Sweat - Part 1,,,,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 12:7 , 4_7 , 12:7 , 4_7 ,,,,,,,
 12:7 , 4_7 , 12:7 , 4_7 ,,,,,,,
 12:7 , 4_7 ,,,,,,,,,
 N , 6_7 , N , 6_9 ,,,,,,,
 1_maj, 1_maj, 1_maj, 1_maj,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 12:7 , 4_7 , 12:7 , 4_7 ,,,,,,,
 12:7 , 4_7 , 12:7 , 4_7 ,,,,,,,
 12:7 , 4_7 ,,,,,,,,,
 N , 6_7 , N , 6_9 ,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
 1_min, 1_min, 1_min, 1_min,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Come And Get Your Love,,,,,,,,,,
 1_1 , 1_1 , 1_maj, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min,,,,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min,,,,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min,,,,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj, 1_maj, 1_maj, 1_maj, 1_maj,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
 3_min, 1_maj, 3_min, 1_maj,,,,,,,
0,,,,,,,,,,
0,,,,,,,,,,
Country Road,,,,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 1_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 12:maj,,,,,,,
 1_maj, 1_maj, 12:maj, 12:maj,,,,,,,
 3_min, 8_7 , x3,,,,,,,,
 10_min, 12:maj,,,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 1_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 12:maj,,,,,,,
 1_maj, 1_maj, 12:maj, 12:maj,,,,,,,
 3_min, 8_7 , x3,,,,,,,,
 10_min, 12:maj,,,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 1_maj,,,,,,,
 4_maj, 4_maj, 6_maj, 1_maj,,,,,,,
 12:maj, 12:maj,,,,,,,,,
 1_maj, 1_maj, 12:maj, 6_maj,,,,,,,
 1_maj, 1_maj, 12:maj, 1_maj,,,,,,,
